mes_referencia;'Mes de preenchimento dos dados'
nome_unidade; 'Nome da unidade do CRAS'
id_cras; 'Numero que identifica o CRAS'
endereco; 'Endereco onde se localiza o CRAS'
municipio; 'Municipio onde o CRAS esta instalado'
uf; 'Estado onde o CRAS esta instalado'
a1;'A.1. Total de famílias em acompanhamento pelo PAIF'
a2;'A.2. Novas famílias inseridas no acompanhamento do PAIF durante o mês de referência'
b1;'B.1. Famílias em situação de extrema pobreza'
b2;'B.2. Famílias beneficiárias do Programa Bolsa Família'
b3;'B.3. Famílias beneficiárias do Programa Bolsa Família, em descumprimento de condicionalidades'
b4;'B.4. Famílias com membros beneficiários do BPC'
b5;'B.5. Famílias com crianças/adolescentes no PETI'
b6;'B.6. Famílias com adolescentes no Projovem adolescente'
c1;'C.1. Total de atendimentos individualizados realizados, no mês'
c2;'C.2. Famílias encaminhadas para inclusão no Cadastro Único'
c3;'C.3. Famílias encaminhadas para atualização cadastral no Cadastro Único'
c4;'C.4. Indivíduos encaminhados para acesso ao BPC'
c5;'C.5. Famílias encaminhadas para o CREAS'
c6;'C.6. Visitas domiciliares realizadas'
d1;'D.1. Famílias participando regularmente de grupos no âmbito do PAIF'
d2;'D.2. Crianças em Serviços de Convivência e Fortalecimentos de Vínculos para crianças até 6 anos'
d3;'D.3. Crianças/ adolescentes em Serv. de Conv.e Fort. de Vínculos para crianças/adolescentes de 6 a 15 anos'
d4;'D.4. Jovens em Serviços de Convivência e Fortalecimentos de Vínculos para jovens de 15 a 17 anos'
d5;'D.5. Idosos em Serviços de Convivência e Fortalecimentos de Vínculos para idosos'
d6;'D.6. Pessoas que participaram de palestras, oficinas e outras atividades coletivas de caráter não continuado'
d7;'D.7. Pessoas com deficiência participando dos Serviços de Convivência ou dos grupos do PAIF'
c7;'C.7. Total de auxílios-natalidade concedidos/entregues durante o mês de referência'
c8;'C.8. Total de auxílios-funeral concedidos/entregues durante o mês de referência'
c9;'C.9. Outros benefícios eventuais concedidos/entregues durante o mês de referência'
d8;'D.8.       Adultos entre 18 e 59 anos em Serviços de Convivência e Fortalecimento de Vínculos'
coordenador_cras; 'Nome do Coordenador responsavel pelo CRAS'
cpf; 'CPF do Coordenador responsavel pelo CRAS'
codigoibge;'Codigo que identifica a qual municipio esta vinculado o CRAS'
